LoanID,Grade,SubGrade,Purpose,Term,ApplicationType,LoanStatus,VerificationStatus
445846,A,A5,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
659221,A,A5,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
782425,A,A5,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
458328,B,B2,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
744344,B,B4,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
1026463,C,C3,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
489679,D,D4,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
519658,A,A5,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
470041,A,A1,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
393852,B,B4,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
725534,B,B4,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
428387,C,C2,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
783561,A,A4,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
969474,A,A5,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
773111,A,A5,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
472634,A,A1,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
494891,B,B5,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
458797,B,B2,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
743690,B,B5,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
384963,B,B1,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
508426,B,B4,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
402318,B,B5,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
359401,C,C3,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
290803,C,C2,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
847836,C,C3,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
362098,D,D2,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
1044994,D,D2,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
734343,B,B2,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
126392,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
269289,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
266282,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
243406,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
226154,E,E1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
253727,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
196380,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
206181,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
219070,B,B5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
219000,B,B1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
281384,C,C3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
120525,C,C3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
253987,C,C1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
450292,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
401775,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
373881,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
973780,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
750759,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
745149,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
775926,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
651079,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
627209,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
781516,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
971771,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
796355,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
868443,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
683816,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1023029,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
886517,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1001581,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1004019,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
675716,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
887254,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
865714,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
770503,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
548151,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
542312,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1008323,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
457893,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
451579,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1027822,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
700052,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
661459,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
768140,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
823069,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
761499,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
390651,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
483645,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
866551,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
394295,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
472637,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
732697,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
628369,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
842807,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
564180,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
464609,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1050642,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
710680,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
390765,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1026512,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
471543,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
873529,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
550334,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
361816,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
399481,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
446873,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
887905,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
834628,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
803977,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
460501,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
500124,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
421959,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1040942,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
694067,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
720394,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
360506,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
673841,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
667916,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
708650,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
608757,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
645985,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
784380,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
863309,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
831388,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
726906,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
749594,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1039551,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
725132,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
759237,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
388170,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
455641,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1031003,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
396521,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
808963,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1044077,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
697609,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
757255,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
713504,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
472636,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
764852,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
552448,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
668787,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
508736,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
719399,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
707303,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
788944,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
597469,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
987462,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
661158,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1010097,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
484323,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
489841,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1022407,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1027067,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
466091,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
737488,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
839671,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
644846,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
511422,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
840046,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
470186,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
810774,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
591656,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
489630,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
504878,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
638309,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
636676,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
818975,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
608997,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
775213,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
446193,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
828138,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
444464,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
481657,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
997561,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
891766,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
749248,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
353365,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1032953,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
442982,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
888206,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
793476,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
777143,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
978335,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
664660,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
510217,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
578534,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
795748,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
660364,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
869076,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
537890,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
441568,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
784597,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
617174,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1004390,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
594970,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
577896,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
427621,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
607161,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1050591,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
784065,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
973462,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
375143,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
737546,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
571927,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
555691,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
563254,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
613392,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
582666,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
604494,B,B4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
768960,B,B5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
626313,B,B5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
485006,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
847572,B,B3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
736278,B,B4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
478569,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
776333,B,B4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
694032,B,B5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
787055,B,B3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
431130,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1004136,B,B1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
389965,B,B4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
676230,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
788986,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
494363,B,B4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
561280,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
636721,B,B3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1037682,B,B4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
611873,B,B4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
554118,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
781298,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
652490,B,B5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
707827,B,B3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
372096,B,B3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
831545,B,B1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
485338,B,B1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
497757,B,B3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
296489,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
456763,B,B5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
784904,B,B1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
882693,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
361726,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
444554,C,C1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
512859,C,C1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
696646,C,C4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
536605,C,C5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
427684,C,C4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
735694,C,C5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
458516,C,C5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
732431,C,C1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
495428,C,C2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
737746,C,C5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
970187,C,C5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1008709,C,C1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
364302,C,C5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
793800,D,D2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
572542,D,D4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
510506,D,D3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
366128,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
549126,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
472180,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
864280,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
986915,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
664738,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
361916,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
771076,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
806215,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
600776,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
743687,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
588608,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
880239,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
701662,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
620935,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1030418,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
778086,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
406033,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
851757,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
386541,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
680433,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
381104,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
469988,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
475108,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
836828,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
687289,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
474790,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
730669,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
735441,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
485715,B,B3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
503367,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
749988,B,B3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
471662,B,B4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
724040,B,B5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1043163,B,B3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
473807,B,B1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
564259,B,B4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
797987,B,B3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
464477,B,B3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
460102,C,C3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
713402,C,C2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
493683,C,C5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
409503,C,C3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
472364,D,D2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
472214,D,D2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
472062,D,D2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
690606,D,D4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
419127,D,D3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
391751,D,D4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
372778,D,D2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
471174,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
583337,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
749390,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
812462,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
399588,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
433450,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
611147,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
838960,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
485234,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
623971,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
584739,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
672866,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
883995,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
752122,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
812053,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
665294,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
743941,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
378205,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
386851,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
653363,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
760810,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
353624,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
476925,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
731269,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
805646,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
892547,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
685139,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
744231,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
665503,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
408378,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
824461,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
741404,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
687875,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
674916,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
383869,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
663606,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
596783,A,A5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
706220,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
772651,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
859047,A,A3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
760712,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
725495,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
772226,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
