MemberID,EmploymentLength,EmploymentTitle,HomeOwnership
1251828,10+ years,williams service co,MORTGAGE
1102391,10+ years,"C&E Concrete,inc.",MORTGAGE
1227382,10+ years,BASF Corporation,MORTGAGE
1230439,10+ years,village of solvay dpw,MORTGAGE
863546,10+ years,Gideon Toal/U.P.R Inc.,MORTGAGE
1103400,10+ years,City of West St Paul,MORTGAGE
1078994,10+ years,Harris County,MORTGAGE
972180,10+ years,LSU MEDICAL CENTER OF LOUISIANA,MORTGAGE
706758,10+ years,ABERDEEN TWSP,MORTGAGE
699868,10+ years,Micros Systems Inc.,MORTGAGE
1234988,10+ years,Arkansas Department Of Correction,MORTGAGE
569597,10+ years,Kroger,MORTGAGE
556476,10+ years,Alliance Data Systems,MORTGAGE
1257204,10+ years,City of Madisonville,MORTGAGE
891691,10+ years,RCCG - Victory Temple,MORTGAGE
845936,10+ years,Atkins and Pearce,MORTGAGE
969361,10+ years,Orchard Supply Hardware,MORTGAGE
1031607,10+ years,Custom Phone Inc,MORTGAGE
961964,10+ years,Greif LLC,MORTGAGE
425903,10+ years,Girard Engineering,MORTGAGE
615502,10+ years,AT&T,MORTGAGE
1079988,10+ years,City of Chicago,MORTGAGE
432897,10+ years,Downey welding,MORTGAGE
596861,2 years,Accenture,MORTGAGE
928926,2 years,Corvirtus,MORTGAGE
805177,2 years,Cricket Communications,MORTGAGE
1053506,2 years,walmart distribution,MORTGAGE
725950,3 years,California Department of Justice,MORTGAGE
582432,3 years,Mesa Fire Department,MORTGAGE
1281883,3 years,Ares Inc.,MORTGAGE
903454,3 years,Lonza Inc,MORTGAGE
426115,3 years,Rummel  Klepper  and  Kahl,MORTGAGE
1255698,4 years,Aramark,MORTGAGE
595343,4 years,Sarasota Memorial Hospital,MORTGAGE
1087835,4 years,Jefferson Lewis BOCES,MORTGAGE
709388,4 years,Fairfax County Govt.,MORTGAGE
370608,4 years,Perot Systems,MORTGAGE
442237,4 years,Martin County School District,MORTGAGE
546914,4 years,Sacramento Child Advocates,MORTGAGE
1104233,5 years,City of Richmond,MORTGAGE
1044500,5 years,Le Clos,MORTGAGE
1009793,5 years,Bellevue School District,MORTGAGE
574859,5 years,American Home Shield,MORTGAGE
642219,5 years,ST Microelectronics,MORTGAGE
496234,5 years,US Air Force,MORTGAGE
1271153,5 years,Agusta Westland,MORTGAGE
884942,6 years,faztec industries,MORTGAGE
914846,6 years,Washoe County School District,MORTGAGE
368318,6 years,Classic Center,MORTGAGE
861281,6 years,Templeton Steel,MORTGAGE
853863,7 years,NYS Dept. of Environmental Conservation,MORTGAGE
901168,7 years,Centurylink,MORTGAGE
780895,7 years,"J.F. Shea Co., Inc.",MORTGAGE
826524,8 years,Hunter Industries,MORTGAGE
987587,8 years,Carolina Engine,MORTGAGE
1076434,8 years,"Stafford Family Chiropractic, LLC",MORTGAGE
1040609,8 years,Vitas Healthcare Corp.,MORTGAGE
922378,8 years,mary washington hospital,MORTGAGE
948842,9 years,Town of Apple Valley,MORTGAGE
1269489,9 years,Townsend Design,MORTGAGE
920343,9 years,Astrazeneca Pharmaceuticals,MORTGAGE
959469,< 1 year,Tri-River Design & Construction,MORTGAGE
421436,< 1 year,AMG Imaging Supplies,MORTGAGE
565159,< 1 year,College of Westchester,MORTGAGE
1260425,10+ years,AT&T,MORTGAGE
436823,3 years,Harvard University,MORTGAGE
1015737,5 years,primus express inc,MORTGAGE
1274416,1 year,"E-Z-GO, Textron",MORTGAGE
888953,1 year,ETMC Carthage,MORTGAGE
957278,1 year,Florida Farm Bureau Insurance Company,MORTGAGE
906743,1 year,Graham Packaging Inc.,MORTGAGE
596860,10+ years,Prince William County Schools,MORTGAGE
965621,10+ years,Alliance Datg,MORTGAGE
711857,10+ years,"Hodgdon Powder Company,  Inc.",MORTGAGE
855127,10+ years,Metropolitan Museum of Art,MORTGAGE
656465,10+ years,Sarnoff Corporation,MORTGAGE
913732,10+ years,IRS,MORTGAGE
899636,10+ years,Champion Industries-CPC Printing,MORTGAGE
992748,10+ years,Oncology Specialists,MORTGAGE
766903,10+ years,Finley Hospital,MORTGAGE
1211442,10+ years,Welborn Floral,MORTGAGE
845559,2 years,TrueNorth Insurance Companies,MORTGAGE
1236893,2 years,Vogel Plumbing,MORTGAGE
616593,2 years,control point assoc,MORTGAGE
625184,2 years,Interfaith Medical Center,MORTGAGE
1251195,3 years,Larry Grayson Trucking,MORTGAGE
1256261,3 years,K&K  TRANSPORT SERVICES,MORTGAGE
585294,3 years,New York State DEC,MORTGAGE
934676,3 years,D4D Technologies,MORTGAGE
1049845,4 years,Onyx Power,MORTGAGE
825145,4 years,Storms Ford Lincoln,MORTGAGE
660596,4 years,van galder bus co.,MORTGAGE
1050351,5 years,Canyon View Vineyard Church,MORTGAGE
593497,5 years,Peak CMS,MORTGAGE
1017727,5 years,american sugar refining,MORTGAGE
759924,5 years,STATE FARM INSURANCE,MORTGAGE
624789,5 years,Coilcraft,MORTGAGE
650279,5 years,S.P. Richards,MORTGAGE
817666,6 years,altona correctional,MORTGAGE
815592,6 years,Town of Cheektowaga,MORTGAGE
1027019,6 years,State of Missouri,MORTGAGE
773056,6 years,Avocent Corp,MORTGAGE
977451,7 years,Porsche Cars N.A,MORTGAGE
423921,7 years,Compleat Restorations,MORTGAGE
1037146,7 years,American Home Shield,MORTGAGE
541920,< 1 year,Indus Corporation,MORTGAGE
612600,< 1 year,NYC TRANSIT,MORTGAGE
1222660,10+ years,S&S Tire,MORTGAGE
1108628,3 years,Eye care centers of america,MORTGAGE
948466,7 years,Dematic Corp.,MORTGAGE
356975,10+ years,Self-employed,MORTGAGE
1262713,10+ years,NY State,MORTGAGE
538542,1 year,BP Corporation North America,MORTGAGE
1104499,10+ years,TEMPLE INLAND,MORTGAGE
997991,10+ years,Farrar Corp,MORTGAGE
979595,10+ years,Lee's Summit Schools,MORTGAGE
1201393,3 years,CareFusion,MORTGAGE
849849,3 years,TransPac Aviation Academy,MORTGAGE
658773,3 years,TIAA-CREF,MORTGAGE
743854,3 years,Holland Hart LLP,MORTGAGE
1000505,3 years,TTUHSC,MORTGAGE
844598,6 years,Universal Punch Corp.,MORTGAGE
1064045,6 years,Executive Jet Management,MORTGAGE
694760,8 years,valley Plating,MORTGAGE
535793,9 years,Cypress-Fairbanks ISD,MORTGAGE
963690,1 year,Fleetwood Goldcowyard,MORTGAGE
791294,10+ years,USA Properties Fund,MORTGAGE
1230821,2 years,Tony Pai LLC,MORTGAGE
763931,2 years,"Ideosity, Inc.",MORTGAGE
743084,2 years,AEP,MORTGAGE
451034,4 years,ConnectGO Internet Inc,MORTGAGE
778911,5 years,st joseph,MORTGAGE
1281827,7 years,Westlake Chemical Company,MORTGAGE
987239,8 years,DDI,MORTGAGE
1195465,< 1 year,Shick USA,MORTGAGE
397032,< 1 year,United Natural Food Inc,MORTGAGE
934744,1 year,EvolveIP,MORTGAGE
735661,10+ years,Murphy's Mountain Jewelers,MORTGAGE
715619,5 years,city of hoquiam,MORTGAGE
724759,5 years,L-3 Communications,MORTGAGE
786442,10+ years,Standex Engraving LLC,MORTGAGE
748779,10+ years,City of Rio Rancho,MORTGAGE
775520,10+ years,Broward County,MORTGAGE
970363,10+ years,Leslie Equipment Co.,MORTGAGE
802616,10+ years,YUMA COUNTY,MORTGAGE
617757,2 years,Prudential,MORTGAGE
1059082,2 years,excell co.,MORTGAGE
933143,2 years,Quality Carriers,MORTGAGE
607608,3 years,Northwood Manufacturing,MORTGAGE
978668,3 years,med plus staffing,MORTGAGE
884903,3 years,Cosmo Films,MORTGAGE
990554,4 years,Swagelok,MORTGAGE
511576,5 years,"Verizon Federal, Inc.",MORTGAGE
1230766,6 years,Polychem,MORTGAGE
395889,8 years,Applebee's,MORTGAGE
864190,9 years,"Cork, Hill and Company, L.L.C.",MORTGAGE
992800,2 years,carolina health care,MORTGAGE
632851,1 year,,MORTGAGE
722341,10+ years,Advance Auto Parts,MORTGAGE
815649,10+ years,The American Sugar Refiining Co,MORTGAGE
1267588,10+ years,Countryside Animal Hospital,MORTGAGE
784596,10+ years,B N S F Railroad,MORTGAGE
713865,4 years,Mt. Olive Twp,MORTGAGE
984137,9 years,,MORTGAGE
834488,1 year,San Antonio Fire Department,MORTGAGE
900219,5 years,Nutricap Labs,MORTGAGE
390612,7 years,South San Francisco Fire Department,MORTGAGE
1040782,9 years,Cudd Energy Services,MORTGAGE
618278,3 years,TSI CORP,MORTGAGE
638159,8 years,Food Lion,MORTGAGE
296474,10+ years,Johnson & Johnson,MORTGAGE
567415,3 years,Data Doctors,MORTGAGE
988157,10+ years,West Ottawa Public Schools,MORTGAGE
1097939,2 years,John Muir Health,MORTGAGE
370454,8 years,Horace Mann Insurance,MORTGAGE
542120,6 years,"I-many, Inc.",MORTGAGE
662623,9 years,city of dixon,MORTGAGE
887830,2 years,tyco electronics,MORTGAGE
693209,2 years,dish network,MORTGAGE
505430,< 1 year,Prostar Packaging,MORTGAGE
932478,< 1 year,Agile1 Inc.,MORTGAGE
570794,< 1 year,walmart,MORTGAGE
928636,8 years,Penn United Technologies,MORTGAGE
634592,3 years,"Hennes Services, Inc.",MORTGAGE
934984,6 years,Ingles Markets,MORTGAGE
1191431,9 years,Floor Productions llc,MORTGAGE
1235403,6 years,NexTier Bank,MORTGAGE
374794,10+ years,PHILIP MORRIS,MORTGAGE
998342,10+ years,J&K Fleas An'Tiques,MORTGAGE
736455,10+ years,Frontier Telephone,MORTGAGE
659194,10+ years,lucky eagle casino,MORTGAGE
377327,5 years,Hacienda La Puente USD,OTHER
707878,1 year,city of yuma,OWN
596143,10+ years,"Babcock, Langbein and Co",OWN
1077447,10+ years,schneider national carriers,OWN
1210906,10+ years,L3 Communcations C.P.S.,OWN
849947,10+ years,Amerigas,OWN
370824,10+ years,KOIKE ARONSON INC,OWN
972813,3 years,medlab,OWN
998690,3 years,william edwards,OWN
771025,4 years,Apple Rehab of Old Saybrook,OWN
941999,5 years,medx billing services,OWN
756206,6 years,Capps Ag Center,OWN
1095196,7 years,Attila Contractor,OWN
893426,7 years,Rialto Theater,OWN
795814,7 years,Town Of Stoneham Police Dept,OWN
1259806,8 years,flexsol,OWN
980621,< 1 year,"Sysco, Inc",OWN
454370,< 1 year,Octapharma,OWN
1063721,10+ years,the automaster,OWN
418858,5 years,houston Cold Freight,OWN
869236,6 years,HARPER ELECTRI CONSTRUCTION,OWN
409174,< 1 year,Colorado Mountain College,OWN
593144,10+ years,Fidelity Investments,OWN
601235,10+ years,Steel-T Heating Inc.,OWN
1046913,10+ years,UFCW Local 27,OWN
877274,5 years,Garratt Callahan,OWN
600698,< 1 year,,OWN
926657,5 years,BNP Paribas,OWN
932157,4 years,Customized Distribution Services,OWN
618879,10+ years,,OWN
647818,4 years,interstate brands corp.,OWN
949275,6 years,VA GI Bill Education,OWN
595463,10+ years,,OWN
919104,3 years,mercy college,OWN
1273265,5 years,Scooter Paints,OWN
599104,< 1 year,,OWN
726033,10+ years,L3 Communications C.P.S.,OWN
1003052,2 years,the back doctor,OWN
582181,3 years,Walmart,OWN
573959,7 years,Mumm Napa,OWN
906620,10+ years,UCF,OWN
631696,2 years,Graphics Packaging,OWN
460293,< 1 year,Town of Seneca Falls Highway,OWN
596465,10+ years,,OWN
596215,10+ years,,OWN
595963,10+ years,,OWN
881044,7 years,Nicholson MFG,OWN
491642,< 1 year,Aquinas Academy,OWN
428101,2 years,McOpCo,OWN
391952,< 1 year,Dr. Demartino,OWN
594840,< 1 year,ICR,OWN
749595,1 year,Marie Welshinger,RENT
948621,1 year,MH Consulting Services,RENT
1015921,1 year,Fisher Asset Management LLC,RENT
442399,1 year,State of Washington Dept of Corrections,RENT
516330,1 year,Roanoke City,RENT
769311,1 year,2Dialog,RENT
1049091,1 year,CentrAlert,RENT
618122,1 year,Newark Board of Education,RENT
799645,10+ years,kamco supply corp of new england,RENT
751369,10+ years,pss,RENT
860102,10+ years,,RENT
1099330,10+ years,escambia county board of county commissi,RENT
951674,2 years,"DR, Inc.",RENT
1019162,2 years,ArtsFund,RENT
850593,2 years,Stainless Sales Corporation,RENT
942327,2 years,Great southwestern construction,RENT
403074,2 years,International Education,RENT
416411,2 years,Improvement Direct,RENT
835549,2 years,Compusearch,RENT
961133,2 years,TeleNav,RENT
357323,2 years,"Psychology Software Tools, Inc",RENT
604357,2 years,"Impact Technologies, LLC",RENT
927319,2 years,baystate builders,RENT
1011709,3 years,"CONNSACS, Inc.",RENT
1109494,3 years,Panasonic Avionics Corporation,RENT
874733,3 years,Turner Broadcasting,RENT
942686,3 years,"Mediatech, Inc.",RENT
850858,3 years,The Capital Group,RENT
458437,3 years,United States Patent and Trademark Office,RENT
1033127,4 years,Booz & Company,RENT
939281,4 years,"KTG, Inc.",RENT
877916,4 years,tire kingdom,RENT
862606,4 years,Walmart,RENT
414464,4 years,,RENT
848574,4 years,somerset county,RENT
766062,4 years,After Cool Fitness,RENT
898423,5 years,Tops Markets,RENT
974641,5 years,Autozone,RENT
1071722,5 years,WENDOH Media,RENT
961022,5 years,Waste Management,RENT
920749,6 years,Abc Supply Co. Inc,RENT
974139,6 years,City of Lebanon,RENT
1019037,6 years,wny urology associates,RENT
1227186,6 years,"PPG Industries, Inc.",RENT
679135,6 years,"Ocean Spray Cranberries, Inc.",RENT
904859,6 years,Mac Brown Excavating,RENT
602264,8 years,Table Mountain Rancheria,RENT
1003659,8 years,columbia pictures industries inc,RENT
595082,9 years,NetApp,RENT
602508,9 years,BR Instrument Corp,RENT
1223530,9 years,Broad and Lehigh Pharmacy,RENT
435726,< 1 year,Lockheed Martin Corp.,RENT
433009,< 1 year,Small World Preschool,RENT
847753,< 1 year,South Pacific Financial,RENT
491508,< 1 year,Goodman Manufacturing,RENT
745351,< 1 year,Inmotion Hosting,RENT
552711,< 1 year,Zwingli United Church of Christ,RENT
1265281,< 1 year,City of Troy,RENT
596653,2 years,Hagerman & Company,RENT
834068,9 years,Fire and Life Safety America,RENT
651233,1 year,Hennepin County,RENT
595085,1 year,"Tyson Foods, Inc.",RENT
554033,1 year,Cheesecake Factory,RENT
938040,1 year,State Of California,RENT
422393,10+ years,State of Oregon,RENT
922807,10+ years,Marin Community College District,RENT
807060,2 years,IBIS Advisors Co.,RENT
750023,2 years,Zuccareli's,RENT
349026,2 years,E² Inc.,RENT
929259,2 years,Valley Regional Medical Center,RENT
708032,3 years,Rice University - School of Music,RENT
894687,3 years,,RENT
814771,9 years,walmart,RENT
422006,< 1 year,Cruses-n-More,RENT
517674,< 1 year,Robinson Helicopter,RENT
366625,< 1 year,,RENT
361181,< 1 year,Salamander Fire Protection,RENT
448561,< 1 year,Millenium Partners,RENT
1083658,< 1 year,A&N International,RENT
997144,2 years,Pcdata,RENT
434505,2 years,supplemental healthcare,RENT
449570,2 years,metlife,RENT
616092,5 years,Ticketmaster,RENT
390093,6 years,Hawaii Agriculture Research Center,RENT
772276,6 years,Cooks Cleaning,RENT
594630,< 1 year,BBVA Compass,RENT
590940,< 1 year,,RENT
785477,< 1 year,Mattingly Electric,RENT
732666,10+ years,LAYTON MANUFACTRING,RENT
700814,9 years,ira mast,RENT
1010746,1 year,Idyllwild Arts Foundation,RENT
1053961,1 year,Firsthealth of the carolinas,RENT
750832,4 years,Specialty Sports Venture (Vail Resorts),RENT
582795,7 years,Virginia Military Institute,RENT
733441,< 1 year,The University of Chicago,RENT
388091,4 years,mercury insurance,RENT
1038058,1 year,UPMC Centers for Rehab Services,RENT
1040357,1 year,Anika Therapeutics,RENT
1036798,1 year,PC Richard and Son,RENT
667620,1 year,Creative Concrete Solutions,RENT
448884,1 year,CBS,RENT
1241339,10+ years,Kaiser Permanente,RENT
954015,2 years,Mcdonalds,RENT
999258,2 years,TERC,RENT
624526,2 years,Apple Inc,RENT
865682,3 years,Citrus Health and Rehab,RENT
870699,3 years,Ronald S. Haft,RENT
1226747,3 years,Barclays Capital,RENT
568335,5 years,inet,RENT
634654,5 years,"1st Class Sleep Diagnostics, Inc.",RENT
1096963,6 years,wells fargo bank`,RENT
1017070,6 years,Stanley Access Technologies,RENT
645434,6 years,Datasoft Inc.,RENT
820864,< 1 year,Ring Power,RENT
447614,< 1 year,Linkus (Contracted),RENT
574141,< 1 year,Car Quest,RENT
1002865,7 years,United BMW of Roswell,RENT
1188457,9 years,u.s. security assoiciates inc,RENT
1209489,1 year,Miami Dade Corrections and Rehabilitatio,RENT
656090,1 year,Arthur J Gallagher,RENT
420501,1 year,Venue Security Corp,RENT
349851,10+ years,Boston College,RENT
392123,3 years,Nationwide Mutual Insurance Company,RENT
360932,3 years,Trc Staffing,RENT
536216,4 years,Boykin Transport,RENT
616749,4 years,TNT POOL SERVICE,RENT
944419,5 years,QPS LLC,RENT
535632,5 years,city of miami beach,RENT
640599,5 years,fritz plumbing,RENT
799415,5 years,Chicago Transit Authority,RENT
548440,5 years,Six to Eight Inc,RENT
854631,7 years,Christian Coalition of Florida,RENT
593697,9 years,Valley Learning Center,RENT
783808,< 1 year,M&K II,RENT
484841,< 1 year,Southwestern Company,RENT
575227,< 1 year,Backcountry.com,RENT
543489,< 1 year,Wells Fargo Advisors,RENT
655976,< 1 year,TW&C,RENT
1246948,6 years,new york city marshal,RENT
610554,9 years,Military,RENT
350763,1 year,Northrop Grumman,RENT
557659,1 year,US Security Associates,RENT
823060,3 years,Houston Fire Dept.,RENT
913586,3 years,Oakley,RENT
938523,3 years,Doctor's Ambulance Service,RENT
1028341,4 years,pizza inn,RENT
925837,5 years,the severn group,RENT
949517,5 years,hot chocolate sparrow,RENT
804561,< 1 year,Door Pro America,RENT
603653,< 1 year,,RENT
571384,2 years,Harris Corporation,RENT
554017,1 year,,RENT
444228,10+ years,USAF,RENT
1044140,10+ years,coastal tec,RENT
1274808,3 years,brittany farms health center,RENT
499463,4 years,US Cellular,RENT
496747,8 years,Guardian Fiberglass,RENT
415486,1 year,Owens-Illinois,RENT
494016,1 year,cheesecake factory,RENT
511552,10+ years,pitman company,RENT
355104,10+ years,charrette pitman,RENT
678537,2 years,CORNELL COMPANIES,RENT
315589,3 years,Georgia Tech,RENT
1271130,6 years,star trucking,RENT
930805,6 years,"RENO Hardware & Supply, Inc.",RENT
769354,7 years,The Grafton,RENT
743115,7 years,Stanford University,RENT
708750,< 1 year,New Orleans Hornets,RENT
650989,9 years,centria,RENT
718339,1 year,Patrick Buick GMC,RENT
850277,1 year,Elan Pharma via Bayside Solutions,RENT
1212114,2 years,Hyatt Vi,RENT
864390,2 years,"Apple, Inc.",RENT
518590,2 years,Myself--Childcare,RENT
512743,2 years,TCBY,RENT
439999,4 years,"ShatzmanBaker, PC",RENT
1282623,5 years,Wegmans Food Markets,RENT
413399,4 years,Vera Reporting,RENT
900107,< 1 year,RES Health Care,RENT
994637,10+ years,Colorstyle Incorporated,RENT
603322,2 years,Walgreens,RENT
1090999,3 years,Capital One Financial,RENT
1067817,4 years,Gunnison County Electric Association,RENT
992893,5 years,Convergys,RENT
1268402,7 years,ECC Capital Corporation,RENT
691548,4 years,City of Tempe,RENT
754183,1 year,Global Quality Trade,RENT
351284,1 year,The Security Title Guarantee Corporation,RENT
813659,2 years,The Polyclinic,RENT
614622,3 years,Law Offices of Sandy Lipkin,RENT
424810,7 years,Linebarger Goggan Blair & Sampson,RENT
620261,< 1 year,Credit Suisse AG,RENT
511819,1 year,American Institute for Foreign Studies,RENT
1097347,2 years,Austin Home Base Community School,RENT
663828,5 years,Straub Clinic & Hospital,RENT
543556,1 year,Jimmy John's,RENT
424846,2 years,Kevin Leong,RENT
768919,5 years,Ohio Public Employees Retirement System,RENT
605844,7 years,Sutter health. Eden/Alta bates,RENT
622716,9 years,"Batten and Shaw, Inc.",RENT
620789,2 years,NourishLife,RENT
625341,3 years,barley creek,RENT
615829,5 years,American Medic of Charlotte Co.,RENT
408375,10+ years,SAIC,RENT
713608,10+ years,Oceans Eleven Casino,RENT
696564,6 years,Elite line Services,MORTGAGE
488611,7 years,"DCS, Inc",MORTGAGE
879897,7 years,Restoration Heat& Air,MORTGAGE
938819,5 years,City Of Seattle,MORTGAGE
1063271,7 years,Waste Industries,MORTGAGE
1002476,7 years,ppc,MORTGAGE
947424,2 years,Dept. of Social Services,MORTGAGE
1279208,10+ years,Tanner Medical Center,MORTGAGE
423034,3 years,Infinite Systems Services Incorporated,MORTGAGE
857007,4 years,Northrop Grumman,MORTGAGE
775015,4 years,Self Employed,MORTGAGE
1001638,10+ years,clayton williams energy,OWN
812849,2 years,Flightline,OWN
984845,7 years,Royalty Limousines,RENT
765611,6 years,sorrell dev,RENT
420926,1 year,SMG Search,MORTGAGE
995287,3 years,Liquid Gold Well Service,MORTGAGE
1055952,< 1 year,Wal-Mart,MORTGAGE
1236819,< 1 year,Five Guys,MORTGAGE
988495,1 year,Alliance Audio Visual,MORTGAGE
886842,5 years,WALMART,RENT
746376,5 years,Walt Disney World Resorts,RENT
1250948,7 years,Marriott International,RENT
916871,< 1 year,lotus marketing group,RENT
1274483,< 1 year,REC Solar,RENT
1233435,< 1 year,Sprint,RENT
1199242,1 year,Merritt's Ace Hardware,RENT
760997,10+ years,Whitman Financial Services,RENT
948165,10+ years,Jackson Independent School System,RENT
1045471,7 years,Home Depot,RENT
454633,10+ years,Standard Courier,RENT
731438,4 years,Betts Express,RENT
1057404,< 1 year,ICF International,RENT
1189788,10+ years,Area Agency on Aging,MORTGAGE
1010890,< 1 year,Millercoors,MORTGAGE
1029234,1 year,Keller ISD,MORTGAGE
900645,1 year,RPi Electric,MORTGAGE
887348,10+ years,LOCKHEED MARTIN CORPORATION,MORTGAGE
1045560,10+ years,RF Technologies,MORTGAGE
857335,10+ years,A.L.Ayala Roofing co.inc.,MORTGAGE
1219346,10+ years,self,MORTGAGE
1196316,10+ years,con edison,MORTGAGE
1203021,10+ years,Ericsson,MORTGAGE
1088327,10+ years,"Leggette, Brashears & Graham, Inc.",MORTGAGE
1278767,10+ years,Bourough of Butler,MORTGAGE
1022811,10+ years,Raleigh-Durham Airport Authority,MORTGAGE
969289,10+ years,Hackley School,MORTGAGE
1192296,10+ years,Ezee car wash,MORTGAGE
918757,10+ years,Costco Wholesale,MORTGAGE
819057,10+ years,Housing Authority of CityNew Britain,MORTGAGE
1187115,10+ years,CITY OF RUNAWAY BAY,MORTGAGE
1235893,2 years,AgnetSolid,MORTGAGE
1273525,2 years,"Amphora, Inc.",MORTGAGE
635775,2 years,"iLumen, Inc.",MORTGAGE
844184,3 years,Colonial Heights City Schools,MORTGAGE
781571,3 years,JBL Professional,MORTGAGE
943643,3 years,CableVision,MORTGAGE
867842,4 years,University of Chicago,MORTGAGE
1097226,6 years,Bank of America,MORTGAGE
882637,6 years,"Twin Distributing, Inc",MORTGAGE
989733,6 years,Global Parcel Service,MORTGAGE
1104183,7 years,okanogan co pud,MORTGAGE
1089326,7 years,United States District Court,MORTGAGE
1005809,7 years,Equifax Inc,MORTGAGE
788684,8 years,Walton County Public School,MORTGAGE
920962,8 years,Ingram Insurance Agency,MORTGAGE
882073,9 years,Controlled Automation,MORTGAGE
1212690,< 1 year,AAR Airlift,MORTGAGE
988146,< 1 year,Merchants & Farmers Bank,MORTGAGE
1210745,< 1 year,Mckesson,MORTGAGE
1232855,< 1 year,RAFFERTY SUBARU,MORTGAGE
805748,1 year,U.S. Air Force,MORTGAGE
1092979,10+ years,"O T Plus, Inc",MORTGAGE
821679,10+ years,Indian Health Services,MORTGAGE
968324,10+ years,Kiwiplan Inc,MORTGAGE
522162,10+ years,D&R Electric,MORTGAGE
803117,3 years,Chicago Franchise Systems,MORTGAGE
1100141,5 years,,MORTGAGE
1051745,5 years,ICF International,MORTGAGE
894224,6 years,Town of Mansfield,MORTGAGE
968312,6 years,Ferguson-Florissant School District,MORTGAGE
945346,6 years,Central States Funds,MORTGAGE
850287,6 years,Benfield Lighting Inc.,MORTGAGE
954999,7 years,Housing Authority of the City of Tulsa,MORTGAGE
741642,8 years,First Republic bank,MORTGAGE
1064747,< 1 year,USDA,MORTGAGE
1068362,< 1 year,Palm Valley Church,MORTGAGE
