LoanID,MemberID,IssueDate,LastPaymentDate,NextPaymentDate,LastCreditPullDate,AddressState,LoanAmount,TotalPayment,Installment,InterestRate,DTI,AnnualIncome,TotalAcc
775926,978223,11-06-2021,14-06-2021,14-07-2021,14-06-2021,MO,4800,5374,149.29,0.0749,0.0242,60000.0,6
651079,832879,11-01-2021,14-01-2021,14-02-2021,14-01-2021,RI,4000,4466,124.04,0.0729,0.2127,58000.0,24
627209,803704,10-12-2021,13-12-2021,13-01-2022,14-10-2021,MD,8000,8686,241.28,0.0542,0.0283,31000.0,17
781516,984370,11-06-2021,11-08-2021,11-09-2021,11-07-2021,MO,3000,3014,90.48,0.0542,0.0161,33600.0,15
971771,1193520,11-10-2021,14-10-2021,14-11-2021,16-05-2021,CA,8000,8765,243.49,0.0603,0.025,64320.0,17
796355,1001198,11-06-2021,14-07-2021,14-08-2021,16-04-2021,RI,5000,5429,150.8,0.0542,0.0218,79200.0,28
868443,1082151,11-09-2021,14-04-2021,14-05-2021,16-05-2021,DE,3200,3468,96.52,0.0542,0.0651,63996.0,26
683816,873188,11-03-2021,11-09-2021,11-10-2021,11-09-2021,NY,7400,7556,223.19,0.0542,0.2075,72000.0,23
1023029,1251828,11-11-2021,14-12-2021,14-01-2022,14-11-2021,PA,5000,5478,152.18,0.0603,0.1782,72000.0,37
886517,1102391,11-09-2021,14-10-2021,14-11-2021,14-09-2021,NM,5000,5478,152.18,0.0603,0.1872,41784.0,22
1001581,1227382,11-10-2021,13-10-2021,13-11-2021,16-05-2021,TX,6000,6493,182.62,0.0603,0.238,96000.0,27
1004019,1230439,11-10-2021,14-08-2021,14-09-2021,16-04-2021,NY,6000,6569,182.62,0.0603,0.2407,54000.0,32
675716,863546,11-02-2021,14-03-2021,14-04-2021,14-04-2021,NV,9000,9772,271.44,0.0542,0.2293,36000.0,47
887254,1103400,11-10-2021,14-11-2021,14-12-2021,16-05-2021,MN,7200,7889,219.14,0.0603,0.1658,114000.0,52
865714,1078994,11-09-2021,13-08-2021,13-09-2021,16-05-2021,TX,5650,6067,170.41,0.0542,0.1732,48000.0,32
770503,972180,11-06-2021,12-01-2021,12-02-2021,12-01-2021,LA,6000,6194,182.51,0.0599,0.1406,39600.0,32
548151,706758,10-07-2021,13-08-2021,13-09-2021,16-05-2021,NJ,3500,3877,107.69,0.0676,0.1976,108000.0,37
542312,699868,10-07-2021,13-07-2021,13-08-2021,16-05-2021,FL,4000,4431,123.07,0.0676,0.0618,57431.0,21
1008323,1234988,11-11-2021,14-12-2021,14-01-2022,15-12-2021,AR,6000,6714,186.67,0.0751,0.2935,32468.8,16
457893,569597,09-11-2021,12-11-2021,12-12-2021,12-11-2021,AR,7000,7867,218.54,0.0774,0.0429,26000.0,11
451579,556476,09-10-2021,12-03-2021,12-04-2021,14-06-2021,OH,5000,5584,156.1,0.0774,0.0234,75000.0,21
1027822,1257204,11-11-2021,14-08-2021,14-09-2021,16-05-2021,KY,1800,2013,56.0,0.0751,0.2692,58000.0,28
700052,891691,11-04-2021,14-04-2021,14-05-2021,15-11-2021,NC,10000,11103,308.41,0.0692,0.203,50000.0,32
661459,845936,11-02-2021,14-02-2021,14-03-2021,14-02-2021,OH,6500,7257,201.57,0.0729,0.1988,48000.0,24
768140,969361,11-05-2021,12-12-2021,12-01-2022,12-12-2021,CA,5000,5312,155.51,0.0749,0.1433,73000.0,23
823069,1031607,11-07-2021,12-11-2021,12-12-2021,12-11-2021,CT,8000,8615,248.82,0.0749,0.0286,68000.0,13
761499,961964,11-05-2021,14-06-2021,14-07-2021,14-08-2021,GA,8000,8957,248.82,0.0749,0.1825,112992.0,25
390651,425903,09-04-2021,12-04-2021,12-05-2021,15-07-2021,VA,8000,9201,255.58,0.0932,0.0518,135000.0,14
483645,615502,10-02-2021,13-02-2021,13-03-2021,13-02-2021,GA,6000,6720,186.66,0.0751,0.1831,75181.0,30
866551,1079988,11-09-2021,14-09-2021,14-10-2021,14-09-2021,IL,3000,3359,93.31,0.0749,0.1916,110400.0,41
394295,432897,09-04-2021,12-05-2021,12-06-2021,12-05-2021,CA,15000,17331,481.42,0.0963,0.1257,48000.0,31
472637,596861,09-12-2021,11-12-2021,11-01-2022,11-12-2021,TX,8700,9538,268.83,0.0705,0.0267,54000.0,15
732697,928926,11-04-2021,14-05-2021,14-06-2021,15-10-2021,CO,5600,6080,168.9,0.0542,0.04,85000.0,36
628369,805177,10-12-2021,13-12-2021,13-01-2022,13-12-2021,TX,1800,1977,54.9,0.0617,0.1997,36000.0,21
842807,1053506,11-08-2021,14-08-2021,14-09-2021,16-05-2021,NY,7000,7838,217.72,0.0749,0.1883,36000.0,13
564180,725950,10-08-2021,13-09-2021,13-10-2021,13-08-2021,CA,4600,5068,140.76,0.0639,0.052,120000.0,42
464609,582432,09-12-2021,10-03-2021,10-04-2021,16-05-2021,AZ,2000,2036,62.12,0.074,0.1004,60000.0,14
1050642,1281883,11-12-2021,14-06-2021,14-07-2021,14-06-2021,OH,3800,4187,116.68,0.0662,0.1207,62352.0,24
710680,903454,11-03-2021,14-04-2021,14-05-2021,14-04-2021,PA,5000,5459,151.64,0.0579,0.1129,54000.0,20
390765,426115,09-04-2021,10-02-2021,10-03-2021,10-03-2021,MD,10000,10513,313.37,0.08,0.0036,60000.0,11
1026512,1255698,11-11-2021,14-12-2021,14-01-2022,14-11-2021,TX,3000,3287,91.31,0.0603,0.0118,66000.0,23
471543,595343,09-12-2021,11-08-2021,11-09-2021,11-08-2021,FL,16000,17370,494.4,0.0705,0.064,241875.0,24
873529,1087835,11-09-2021,14-09-2021,14-10-2021,15-09-2021,NY,1300,1411,39.21,0.0542,0.067,24000.0,46
550334,709388,10-07-2021,11-03-2021,11-04-2021,16-05-2021,VA,4500,4613,138.46,0.0676,0.0829,96000.0,28
361816,370608,08-11-2021,11-11-2021,11-12-2021,16-05-2021,CA,5000,5641,156.69,0.08,0.0428,90000.0,12
399481,442237,09-05-2021,12-05-2021,12-06-2021,16-03-2021,FL,9000,10153,282.03,0.08,0.0898,81804.0,30
446873,546914,09-10-2021,12-02-2021,12-03-2021,16-01-2021,CA,2000,2260,63.23,0.0859,0.1596,28880.0,12
887905,1104233,11-09-2021,14-10-2021,14-11-2021,16-05-2021,VA,4000,4383,121.75,0.0603,0.1753,51000.0,15
834628,1044500,11-08-2021,14-08-2021,14-09-2021,16-05-2021,GA,3500,3800,105.56,0.0542,0.0585,49000.0,16
803977,1009793,11-07-2021,14-07-2021,14-08-2021,16-05-2021,WA,6000,6515,180.96,0.0542,0.044,42000.0,31
460501,574859,09-11-2021,11-04-2021,11-05-2021,12-01-2021,GA,5000,5398,155.3,0.074,0.0317,50000.0,32
500124,642219,10-04-2021,13-02-2021,13-03-2021,13-02-2021,AZ,8000,8906,247.52,0.0714,0.0329,85000.0,32
421959,496234,09-07-2021,10-05-2021,10-06-2021,10-05-2021,GA,3000,3189,95.85,0.0932,0.0833,50000.0,28
1040942,1271153,11-12-2021,13-07-2021,13-08-2021,13-07-2021,PA,6000,6395,187.75,0.079,0.2009,139200.0,31
694067,884942,11-03-2021,14-03-2021,14-04-2021,14-03-2021,NY,4000,4343,120.64,0.0542,0.0725,57600.0,24
720394,914846,11-04-2021,13-03-2021,13-04-2021,13-04-2021,NV,5600,6130,172.71,0.0692,0.0061,37459.0,8
360506,368318,08-11-2021,11-11-2021,11-12-2021,11-11-2021,GA,4000,4512,125.35,0.08,0.0507,58500.0,19
673841,861281,11-02-2021,11-09-2021,11-10-2021,13-07-2021,CA,3050,3170,94.59,0.0729,0.014,60000.0,12
667916,853863,11-02-2021,14-02-2021,14-03-2021,14-02-2021,NY,6000,6515,180.96,0.0542,0.1429,65000.0,33
708650,901168,11-03-2021,13-12-2021,13-01-2022,13-12-2021,FL,5000,5543,154.21,0.0692,0.0217,72000.0,11
608757,780895,10-11-2021,13-11-2021,13-12-2021,16-05-2021,CA,15000,10102,280.61,0.0691,0.234,123000.0,50
645985,826524,11-01-2021,13-02-2021,13-03-2021,15-02-2021,CA,7800,8388,235.25,0.0542,0.0524,110000.0,27
784380,987587,11-06-2021,12-05-2021,12-06-2021,15-12-2021,SC,4500,4680,135.72,0.0542,0.109,48000.0,28
863309,1076434,11-09-2021,14-09-2021,14-10-2021,14-09-2021,CT,5900,6461,179.47,0.0599,0.205,77040.0,30
831388,1040609,11-08-2021,14-08-2021,14-09-2021,14-08-2021,OH,2000,2239,62.21,0.0749,0.2712,60000.0,31
726906,922378,11-04-2021,13-02-2021,13-03-2021,15-12-2021,VA,3000,3292,93.03,0.0729,0.0737,40560.0,47
749594,948842,11-05-2021,14-05-2021,14-06-2021,14-05-2021,CA,3600,3909,108.58,0.0542,0.15,60000.0,41
1039551,1269489,11-11-2021,14-12-2021,14-01-2022,16-05-2021,CA,5500,6026,167.4,0.0603,0.1085,54960.0,15
725132,920343,11-04-2021,13-04-2021,13-05-2021,13-05-2021,DE,5900,6534,183.97,0.0766,0.1734,84000.0,31
759237,959469,11-05-2021,14-06-2021,14-07-2021,14-05-2021,MO,4000,4343,120.64,0.0542,0.1927,65000.0,20
388170,421436,09-03-2021,12-04-2021,12-05-2021,15-05-2021,FL,12000,13412,372.55,0.0737,0.101,50004.0,31
455641,565159,10-02-2021,13-03-2021,13-04-2021,15-10-2021,CT,10000,11277,312.81,0.0788,0.0909,52000.0,20
1031003,1260425,11-11-2021,14-12-2021,14-01-2022,14-11-2021,TX,4000,4383,121.75,0.0603,0.0271,115000.0,22
396521,436823,09-05-2021,10-06-2021,10-07-2021,15-10-2021,MA,8000,8551,250.69,0.08,0.0432,99996.0,18
808963,1015737,11-07-2021,14-07-2021,14-08-2021,14-07-2021,IL,5000,5429,150.8,0.0542,0.2096,60000.0,34
1044077,1274416,11-11-2021,14-12-2021,14-01-2022,16-05-2021,FL,3000,3316,92.12,0.0662,0.1632,45000.0,23
697609,888953,11-03-2021,14-03-2021,14-04-2021,14-11-2021,TX,4000,4465,124.04,0.0729,0.1041,40000.0,12
757255,957278,11-06-2021,14-06-2021,14-07-2021,14-06-2021,FL,8000,9090,252.51,0.0849,0.1647,55000.0,27
713504,906743,11-04-2021,14-04-2021,14-05-2021,16-05-2021,VA,2100,2357,65.48,0.0766,0.1887,72000.0,39
472636,596860,10-01-2021,13-01-2021,13-02-2021,13-02-2021,VA,8000,8900,247.2,0.0705,0.0173,75000.0,24
764852,965621,11-05-2021,14-06-2021,14-07-2021,14-06-2021,OH,6000,6515,180.96,0.0542,0.0476,85000.0,22
552448,711857,10-07-2021,13-02-2021,13-03-2021,15-09-2021,MO,4400,4858,135.38,0.0676,0.101,70000.0,15
668787,855127,11-02-2021,14-02-2021,14-03-2021,14-02-2021,NY,4975,5432,150.88,0.0579,0.104,48000.0,11
508736,656465,10-04-2021,12-08-2021,12-09-2021,12-08-2021,PA,2100,2306,64.62,0.0676,0.0281,73400.0,28
719399,913732,11-04-2021,11-10-2021,11-11-2021,15-10-2021,MO,4800,4930,145.57,0.0579,0.1387,68800.0,46
707303,899636,11-03-2021,13-01-2021,13-02-2021,16-03-2021,WV,4000,4299,121.31,0.0579,0.0885,40000.0,31
788944,992748,11-06-2021,14-07-2021,14-08-2021,14-07-2021,IL,3000,3285,91.26,0.0599,0.2255,65500.0,34
597469,766903,10-10-2021,11-08-2021,11-09-2021,11-08-2021,IL,1925,2013,59.23,0.0676,0.1527,52800.0,43
987462,1211442,11-10-2021,14-10-2021,14-11-2021,15-01-2021,KY,8000,8936,248.89,0.0751,0.0858,60000.0,52
661158,845559,11-01-2021,14-02-2021,14-03-2021,16-05-2021,AZ,5000,5429,150.8,0.0542,0.0514,105000.0,20
1010097,1236893,11-11-2021,12-03-2021,12-04-2021,16-01-2021,MI,1500,1529,45.66,0.0603,0.1446,60000.0,35
484323,616593,10-06-2021,13-07-2021,13-08-2021,16-02-2021,NJ,4800,5288,146.88,0.0639,0.1452,52000.0,28
489841,625184,10-03-2021,11-05-2021,11-06-2021,11-05-2021,NJ,11000,11796,344.09,0.0788,0.2297,69000.0,59
1022407,1251195,11-11-2021,13-08-2021,13-09-2021,15-04-2021,LA,6000,6514,184.23,0.0662,0.1034,76800.0,27
1027067,1256261,11-11-2021,14-12-2021,14-01-2022,16-05-2021,MI,7750,8566,237.96,0.0662,0.2038,70000.0,26
466091,585294,09-12-2021,12-12-2021,12-01-2022,14-02-2021,NY,4500,5032,139.77,0.074,0.1276,60000.0,33
737488,934676,11-04-2021,14-02-2021,14-03-2021,14-02-2021,TX,6000,6655,185.05,0.0692,0.089,99400.0,38
839671,1049845,11-08-2021,14-08-2021,14-09-2021,16-05-2021,MD,9600,10512,292.01,0.0599,0.016,96000.0,11
644846,825145,11-01-2021,14-01-2021,14-02-2021,15-10-2021,NY,8000,8734,242.62,0.0579,0.0728,95000.0,43
511422,660596,10-05-2021,13-05-2021,13-06-2021,16-03-2021,WI,1500,1671,46.41,0.0714,0.048,45000.0,29
840046,1050351,11-08-2021,14-07-2021,14-08-2021,16-05-2021,CO,2000,2171,60.32,0.0542,0.0188,60000.0,29
470186,593497,10-01-2021,13-01-2021,13-02-2021,13-02-2021,WA,16000,17890,496.95,0.074,0.2152,72000.0,23
810774,1017727,11-07-2021,14-07-2021,14-08-2021,15-09-2021,LA,5000,5557,154.37,0.0699,0.1452,80000.0,20
591656,759924,10-10-2021,13-01-2021,13-02-2021,13-02-2021,NM,6000,6641,186.67,0.0751,0.1072,38400.0,13
489630,624789,10-03-2021,11-08-2021,11-09-2021,11-09-2021,IL,3900,4168,121.33,0.0751,0.1048,52000.0,12
504878,650279,10-04-2021,12-06-2021,12-07-2021,12-06-2021,MD,11000,12106,342.21,0.0751,0.0803,100000.0,36
638309,817666,10-12-2021,14-01-2021,14-02-2021,14-01-2021,NY,6000,6515,180.96,0.0542,0.0807,70000.0,45
636676,815592,10-12-2021,14-01-2021,14-02-2021,14-01-2021,NY,6000,6551,181.97,0.0579,0.0137,51000.0,10
818975,1027019,11-07-2021,13-11-2021,13-12-2021,13-11-2021,MO,4000,4254,121.67,0.0599,0.1529,41664.0,26
608997,773056,10-11-2021,12-10-2021,12-11-2021,12-10-2021,UT,12975,8921,252.86,0.0691,0.1018,97000.0,12
775213,977451,11-06-2021,14-06-2021,14-07-2021,14-06-2021,GA,3000,3257,90.48,0.0542,0.0145,68000.0,25
446193,423921,09-10-2021,12-10-2021,12-11-2021,16-04-2021,PA,4000,4472,124.24,0.074,0.1724,52700.0,18
828138,1037146,11-07-2021,12-01-2021,12-02-2021,12-01-2021,GA,3000,3071,91.26,0.0599,0.1462,55000.0,39
444464,541920,09-09-2021,09-11-2021,09-12-2021,11-09-2021,MD,5950,5989,185.76,0.0774,0.1139,45000.0,18
481657,612600,10-02-2021,12-05-2021,12-06-2021,16-04-2021,NY,9600,10669,298.65,0.0751,0.0989,58000.0,11
997561,1222660,11-10-2021,12-05-2021,12-06-2021,15-12-2021,KY,5000,5061,155.56,0.0751,0.1019,80796.0,29
891766,1108628,11-09-2021,14-06-2021,14-07-2021,15-12-2021,OK,5100,5734,159.59,0.079,0.092,30000.0,23
749248,948466,11-05-2021,13-04-2021,13-05-2021,16-05-2021,TX,7000,7670,216.11,0.0699,0.0559,73440.0,11
353365,356975,08-08-2021,11-08-2021,11-09-2021,11-08-2021,PA,3000,2834,78.72,0.0832,0.0658,26796.0,15
1032953,1262713,11-11-2021,12-01-2021,12-02-2021,15-10-2021,NY,3500,3526,111.14,0.089,0.1976,47500.0,34
442982,538542,09-09-2021,11-08-2021,11-09-2021,11-07-2021,OH,7000,7724,218.54,0.0774,0.0317,79000.0,22
888206,1104499,11-09-2021,11-11-2021,11-12-2021,11-11-2021,AR,5200,5229,159.66,0.0662,0.0908,49536.0,29
793476,997991,11-06-2021,12-08-2021,12-09-2021,12-08-2021,KS,4200,4430,127.76,0.0599,0.1465,96000.0,20
777143,979595,11-06-2021,13-02-2021,13-03-2021,16-05-2021,MO,1200,1305,37.05,0.0699,0.131,69600.0,22
978335,1201393,11-10-2021,12-10-2021,12-11-2021,15-02-2021,TX,3600,3768,109.57,0.0603,0.1524,84554.16,32
664660,849849,11-02-2021,11-10-2021,11-11-2021,11-10-2021,AZ,3000,3099,90.48,0.0542,0.1035,90000.0,30
510217,658773,10-05-2021,13-05-2021,13-06-2021,15-07-2021,PA,4000,4431,123.08,0.0676,0.1276,85000.0,27
578534,743854,10-09-2021,13-09-2021,13-10-2021,15-08-2021,CO,4650,5237,145.46,0.0788,0.1593,35100.0,10
795748,1000505,11-06-2021,14-06-2021,14-07-2021,16-05-2021,TX,1450,1647,45.77,0.0849,0.1605,45600.0,18
660364,844598,11-01-2021,12-06-2021,12-07-2021,12-06-2021,CA,2400,2572,74.02,0.0692,0.2488,81504.0,27
869076,1064045,11-09-2021,13-03-2021,13-04-2021,16-04-2021,NV,6000,6527,186.61,0.0749,0.0878,97000.0,20
537890,694760,10-06-2021,12-07-2021,12-08-2021,14-07-2021,MA,7000,7699,216.59,0.0714,0.1166,57000.0,30
441568,535793,09-09-2021,12-01-2021,12-02-2021,12-01-2021,TX,8000,8934,249.75,0.0774,0.1547,102996.0,30
784597,963690,11-06-2021,12-09-2021,12-10-2021,13-11-2021,VA,7500,7911,228.14,0.0599,0.026,60000.0,30
617174,791294,10-11-2021,11-11-2021,11-12-2021,16-05-2021,CA,4200,4394,127.38,0.0579,0.0757,66560.0,29
1004390,1230821,11-10-2021,13-03-2021,13-04-2021,13-03-2021,IL,5000,5182,153.52,0.0662,0.1124,124800.0,25
594970,763931,10-10-2021,12-01-2021,12-02-2021,12-02-2021,IL,6000,6416,184.61,0.0676,0.211,120000.0,63
577896,743084,10-09-2021,13-03-2021,13-04-2021,16-05-2021,WV,5500,6138,171.11,0.0751,0.0877,97200.0,26
427621,451034,09-08-2021,12-02-2021,12-03-2021,12-11-2021,IL,4500,5125,142.98,0.0894,0.096,100000.0,49
607161,778911,10-11-2021,11-04-2021,11-05-2021,11-06-2021,CA,7200,6493,193.34,0.0579,0.0398,60000.0,13
1050591,1281827,11-12-2021,14-12-2021,14-01-2022,15-02-2021,TX,4200,4642,128.96,0.0662,0.1984,60000.0,29
